TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
CalculoIMC,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8772727272727273,278,253
Contador,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8477781504671039,121,106
